73,cereals,sweet rice,bowl,495,7.2,19.4,72.9,22.1,0,0,0,81,79.2,1.6,1.15,0.84,84.6,49.3,0.48,13,0.18,1,21.5,0.9
74,cereals,tamarind rice,bowl,263,4.6,12.3,33.3,81.8,253.8,25,1.1,52,244.95,8.9,0.65,3.38,93,27.5,0.33,105,0.16,1.9,21,1.3
75,cereals,tomato rice,bowl,232,4.7,9.8,31.4,125.7,369.2,238.5,29.4,105,357.14,29.6,1.01,1.85,119.7,53.5,0.6,210,0.33,1.5,33.1,2.9
76,cereals,aloo paratha,no.,164,3.9,4.8,33.4,14.1,426.4,97.4,3.8,56,36,9.6,0.9,2.08,105,47.4,0.78,152,0.08,1.9,16.6,8.5
77,cereals,bajra roti med,no.,216,5.3,4,39.8,22,56.7,160.8,1.1,99,61.6,15.4,1.41,4.06,155.1,71.8,0.6,146,0.23,1.2,44.6,6
78,cereals,bati,no.,107,3.4,1.7,19.5,13.5,58,88.7,0,50,8.16,10.1,0.62,1.38,99.9,37.2,0.64,140,0.14,1.2,0,2
79,cereals,cabbage carrot paratha,no.,130,3.5,4.4,19.1,33.6,151.8,97.5,9.5,60,141.21,11.7,0.67,1.55,135.5,46.1,0.63,138,0.17,1.2,7.5,2
80,cereals,cauliflower paratha,no.,137,3.4,4,21.8,15.6,153,88.7,2.5,23,35.76,10.1,0.62,0.95,85.4,36,0.58,49,0.12,1.5,24.9,3
81,cereals,chapati ladu,no.,259,4.5,11.9,33.5,22.9,33.8,116.9,0,5,46.8,13.3,0.82,1.84,134.2,49,0.85,18,0.19,1.6,28.7,3.5
82,cereals,chapati medium,no.,152,4,4.6,23.8,12.9,55,89.3,0.8,22,20,9.5,0.77,1.19,96.2,43.4,0.72,52,0.16,1.7,31.5,3.8
83,cereals,chapati with less oil,no.,140,4.1,3,24.2,12.9,0,89.3,0.8,22,20,9.5,0.77,1.19,96.2,43.4,0.72,52,0.16,1.7,31.5,3.8
84,cereals,dhebra,no.,58,1.6,2.7,6.7,17.2,118,38.1,0.8,5,65,9,0.16,0.19,34.7,16.5,0.22,14,0.03,0.5,8.5,1.7
85,cereals,Gulpoli,no.,314,7.6,13.9,40,102.6,15.4,163.5,0.8,55,61.6,1.4,0.55,0.94,147.6,42.6,0.62,34,0.5,1.3,10,3.7
86,cereals,jawar roti,no.,210,4.5,1.3,45.2,13.5,46.5,70.5,1.2,50,54,9.8,0.84,2.15,119.5,92.1,0.42,171,0.24,1.7,45.4,5.6
87,cereals,jawar+ bajra roti,no.,220,4.9,2.7,44.1,37.2,53.3,145.2,1.2,75,57.6,12.2,0.78,1.53,112.3,54.6,0.45,157,0.2,1.1,50.8,5.8
88,cereals,maize roti medium,no.,213,4.1,2.2,44.4,6,73.6,0,0.8,38,83.2,8,0.93,0.61,95.1,53.5,0.35,178,0.19,1.1,46.8,5.6
89,cereals,masala puri,no.,92,3.2,4.1,10.6,15.8,46.2,48.3,0.3,4,33.75,1.2,0.17,0.05,51.4,20.1,0.26,40,0.03,0.7,16.1,1.5
90,cereals,methi paratha,no.,110,3.4,2.5,21,9.7,244,66.9,1.8,16,254,7,0.46,0.76,72.1,32.5,0.54,76,0.16,1.3,15.7,4.1
91,cereals,naan,no.,235,5.9,5.9,39.7,12.4,49.6,69.9,0,40,13.44,0,0.32,1.45,65.1,29,0.34,64,0.11,1.3,6.9,0
92,cereals,paneer paratha,no.,220,6.6,9.7,26.6,104.8,220.1,124.3,1.4,59,9.95,13,0.81,1.76,175.6,47.3,0.81,176,0.2,1.5,41.3,2.5
93,cereals,phulka w/o oil,no.,77,2.7,0.4,15.7,10.8,28.5,71,0,39,6.54,8.1,0.5,1.1,80.1,29.8,0.52,111,0.11,1,17.6,1.6
94,cereals,puran poli,no.,267,8.2,10.1,36,30.8,19.8,206.2,0,10,72,8.1,0.86,1.12,117.9,44.1,0.44,18,0.14,1,26.8,1.2
95,cereals,puri,no.,79,1.6,3.6,10.1,5.5,23,36.3,0,2,12,0,0.08,0.24,40.9,15.2,0.26,37,0.03,0.5,13.1,1.2
96,cereals,ragi thalipeeth,no.,277,7.2,11.8,35.5,283.9,742,280.5,5.3,210,1240,44.6,1.93,3.07,208.4,82.5,2.16,290,0.51,0.8,87.3,8.5
97,cereals,rice roti medium,no.,166,3,0.2,37.8,4.8,36,0,2.4,38,12.8,8,0.29,0.38,76.9,43.3,0.28,34,0.22,0.9,14.6,2
98,cereals,spinach paratha,no.,119,3.3,3,23,43.9,284,112.1,0.4,37,225.2,7.6,0.21,0.56,74.6,48.7,0.52,58,0.08,1,19.8,9.3
99,cereals,sweet puri,no.,81,1.8,2.6,12.8,4.1,15.3,22.6,0,12,31.2,0.3,0.14,0.13,23.9,8.9,0.15,2,0.09,0.3,7.9,0.4
100,cereals,thalipeeth medium,no.,249,6.9,7.7,38.1,39.6,664,154.7,3.8,69,115.2,1.6,1.16,0.55,119.7,58.2,0.48,172,0.1,1.2,18.5,4.3
101,cereals,phodni chapati,small bowl,230,5.7,9.4,30.9,24.7,192,131.7,1.7,14,64,9.6,1.02,1.06,137.1,55.8,0.89,38,0.05,1.6,35.9,2.7
102,cereals,phodni roti,small bowl,380,7.3,19.3,44.2,39.4,230,209.7,6.3,11,23,22.9,1.42,3.11,218.2,88.9,1.41,31,0.38,2.6,42.4,5.2
103,cereals,rice kanji,small bowl,55,0.9,1.8,8.6,16.7,2.5,15.1,2.4,10,105.79,0.9,0.18,0.25,22.3,16.1,0.08,10,0.03,0.2,9.5,0.4
104,cereals,rice puffed,small bowl,98,2.2,0,22.1,6.9,0,0,0,3,0,0,0,1.98,45,0,0,63,0,1.2,4.9,1.4
105,cereals,warai,small bowl,96,1.5,3.1,15.6,30,110,1,5.1,2,15,0,0.17,0.57,300,10,0.05,66,0.09,2,0,2.6
106,Cereals,oats porridge,katori,70,2.6,3.6,4.1,89,10,56.7,0.5,56,84,3,0.24,0.21,58.7,20.2,0.11,38,0.04,0.1,0,0
107,Cereals,plain tortilla ,no.,55,1.3,1,10.2,1.9,21,34.6,3.7,10,86.4,4.3,0.12,0.13,40.8,16.5,0.07,52,0.01,0.3,2.6,0.6
108,Cereals,rice dumpling,no.,60,1,0.7,12.3,4,7,7.9,0.5,6,50.4,1.4,0.07,0.01,33.6,16.2,0.12,17,0.01,0.3,2.3,0
109,Cereals,sizzelers rice,plate,398,8.8,12.4,62.7,193.1,1056.9,391.6,30.1,216,1598.03,17.1,0.8,2.03,393.9,60.5,0.55,277,0.43,3.2,11,4.8
110,Cereals,spagetti,plate,120,1.4,1.2,25.6,15.2,266,33.1,1.3,0,66.5,3,0.09,0.47,45.6,16.5,0.17,0,0.15,0.7,5,1.1
111,Dry Fruits,almond,no.,9,0.3,0.8,0.1,3,0,9.6,0,7,0,0,0.05,0.07,6.4,4.8,0.02,3,0.01,0.1,0,0
112,Dry Fruits,apricot,no.,15,0.1,0,3.7,5.5,0.6,0,0.3,6,5.4,0,0.01,0.01,3.5,0,0,8,0,0.1,0,1.2
